user_id,text,timestamp,label_raw,score_raw,polarity,strength,likes
@GuvierGodoy,Parisi presidente,2025-11-12 17:50:15,LABEL_1,0.5299572348594666,Negativo,1.0,2
@MargaritaAllimant,ASI GANAN VOTOS LOS CAMUNISTAS OFRESIENDO MAS PLATA Y DESPUES SE HACEN MILLONARIOS A COSTA DE LOS HUONES Q. LE DAN LOS VOTOS COMUNISTAS H ANBRE Y RUINA ASI COMO DEJARON EL PAIS EN 4 ANOS SEMBRADO DE MALEANTES.,2025-11-12 17:50:15,LABEL_1,0.5448536276817322,Negativo,1.0,2
@RobertoIgnacioScottGonza-rn8wq,No es por nada pero el que mas se impone en presencia y presentación con seguridad como un verdadero candidato tiene que ser es parisi,2025-11-12 17:50:15,LABEL_1,0.5244598388671875,Negativo,1.0,2
@jazminosorioarredondo3754,DE TODOS ME GUSTA HAROLD,2025-11-12 17:50:15,LABEL_1,0.5321031808853149,Negativo,1.0,1
@jazminosorioarredondo3754,JARA ESTA CON AUDIFONO LA ESTAN AYUDANDO,2025-11-12 17:50:15,LABEL_1,0.5455502271652222,Negativo,1.0,8
@julioleaman,PARISI dando catedra como siempre,2025-11-12 17:50:15,LABEL_1,0.5407763719558716,Negativo,1.0,3
@mariotorres1327,La verdad que me enerva me molesta y me da una indignación escuchar a todos estos ladrones que lo único que quieren es seguir robándose el dinero del partido que sea vuelvo y lo repito del partido que sea lo único que quieren es llegar a la maldita presidencia para robar a manos llenas como lo está haciendo el ladrón de presidente que tiene hoy por hoy nuestro país lo peor que puede haber en el mundo son los malditos políticos No les no les importa absolutamente nada lo único que quieren y postulan es para llenarse los bolsillos y después salir arrancando como la vieja estúpida de la bachelet,2025-11-12 17:50:15,LABEL_0,0.5354235172271729,Negativo,0.0,1
@RuebenMenesesarevalo,Q penca está temporera el único que merece ser presidente es Kaiser vsmon el domingo todo por Kaiser presidente,2025-11-13 17:50:09,LABEL_0,0.5673176050186157,Negativo,0.0,1
@cristianvillalobos5432,"artes no es inversion publica, veo como se roban los remedios en los consultorios, la comida de los comedores, venden las maquinarias para que inicien las pymes, etc. eso gasto, y gasto mal utilizado.",2025-11-13 17:50:09,LABEL_0,0.5209944248199463,Negativo,0.0,1
@cristofherveragua,"PARISI 2026, es simple , quien tiene mayor currículum? No entiendo como chucha quieren votar por Jara , por que son tan weones !",2025-11-13 17:50:09,LABEL_1,0.5523799657821655,Negativo,1.0,3
@filipsimic1815,MENOS CALLE QUE PANTUFLA!!!! WUAJAJJSAJJAJAJAJAJAJAJA,2025-11-13 17:50:09,LABEL_1,0.5530687570571899,Negativo,1.0,1
@nataliamaturana9899,"Franco Parisi, es el más preparado y capacitado para tomar las riendas del país. Es un buen líder, tiene además las ganas reales, y también un equipo sólido.",2025-11-13 17:50:09,LABEL_1,0.5029054284095764,Negativo,1.0,2
@Donhueas-x4y,Vamos subiendo los sueldos para los venezolanos y los pobres profesores que gannan 700 lukas que ?,2025-11-13 17:50:15,LABEL_0,0.5624369978904724,Negativo,0.0,1
@Francisco_CL-DE,"yo vivo en alemania y uno puede elegir la energia como dice kaiser, pero la energia viene de toda europa!!!.. en chile eso no se podria, las distancias son muy grandes!",2025-11-13 17:50:15,LABEL_0,0.5669439435005188,Negativo,0.0,6
@a-1-137,Kaiser y su rol en el Congreso mayo 2022 voto en contra de la expulsión de narcos extranjeros abril 2025 voto en contra de exigir a abogado de narcos que reporten sus ingresosdiciembre 2024 voto en contra de la creacion del ministerio de seguridad publicaabril 2025 no quiso votar en contra de endurecer las penas de arresto domiciliarioabril 2025 no quiso votar contra la prevencion de delitos por parte de los gobiernos regionalesenero 2025 voto en contra de la reforma de pensiones agosto 2022 voto en contra de la ley papito corazon abril 2025 voto en contra de la creacion del servicio nacional forestaly suma y sigue,2025-11-13 17:50:15,LABEL_0,0.5055192112922668,Negativo,0.0,1
@alexiscontreras4767,"Minuto 3.35 el mas preparado los demas puro humo., un crack",2025-11-13 17:50:15,LABEL_1,0.5390313863754272,Negativo,1.0,1
